Time (s),Acceleration (m/s²)
7.231492430E0,3.057584763E-1
7.271487763E0,2.961521149E-1
7.311483029E0,3.272571564E-1
7.351478295E0,3.392200470E-1
7.391473561E0,3.559894562E-1
7.431468861E0,3.559913635E-1
7.471464161E0,3.512296677E-1
7.511459461E0,4.110975266E-1
7.551454794E0,4.086999893E-1
7.591450094E0,4.661531448E-1
7.631445427E0,4.853057861E-1
7.671440727E0,4.829635620E-1
7.711436127E0,4.781970978E-1
7.751431527E0,5.739564896E-1
7.791426793E0,5.452260971E-1
7.831421959E0,5.571832657E-1
7.871417025E0,5.475883484E-1
7.911412158E0,5.547628403E-1
7.951407224E0,6.648960114E-1
7.991402357E0,7.319040298E-1
8.031397423E0,7.175121307E-1
8.071392489E0,7.629947662E-1
8.111387589E0,7.629814148E-1
8.151382689E0,7.678260803E-1
8.191377789E0,7.845840454E-1
8.231372889E0,8.156309128E-1
8.271368022E0,8.396606445E-1
8.311363088E0,8.396177292E-1
8.351358154E0,8.372640610E-1
8.391353254E0,6.743574142E-1
8.431348320E0,8.444223404E-1
8.471343353E0,7.175016403E-1
8.511338453E0,8.037738800E-1
8.551333619E0,7.366380692E-1
8.591328719E0,7.438459396E-1
8.631323852E0,6.790800095E-1
8.671318918E0,7.628660202E-1
8.711314018E0,7.222623825E-1
8.751309284E0,7.653503418E-1
8.791304650E0,7.389764786E-1
8.831300083E0,7.222537994E-1
8.871295483E0,6.624183655E-1
8.911290849E0,6.745491028E-1
8.951286149E0,6.147317886E-1
8.991281515E0,5.907020569E-1
9.031276781E0,4.637908936E-1
9.071272081E0,5.069007874E-1
9.111267381E0,4.494400024E-1
9.151262714E0,4.421787262E-1
9.191258014E0,3.391456604E-1
9.231253347E0,4.733057022E-1
9.271248747E0,4.065341949E-1
9.311244047E0,1.741962433E-1
9.351239347E0,1.955223083E-1
9.391234647E0,-1.084671021E-1
9.431229947E0,8.868217468E-3
9.471225247E0,2.560997009E-2
9.511220547E0,-1.490945816E-1
9.551215913E0,-2.932739258E-2
9.591211246E0,-4.379844666E-2
9.631206646E0,-6.866455078E-4
9.671202012E0,-6.307220459E-2
9.711197312E0,-3.447628021E-2
9.751192612E0,-2.735328674E-2
9.791187912E0,6.855678558E-2
9.831183378E0,1.667022705E-3
9.871178944E0,5.916595459E-2
9.911174610E0,-1.754093170E-2
9.951170043E0,6.396579742E-2
9.991165443E0,-1.974201202E-2
1.003116071E1,3.767776489E-2
1.007115598E1,2.802562714E-2
1.011115124E1,-8.438968658E-2
1.015114651E1,-6.279945374E-2
1.019114177E1,1.726150513E-3
1.023113707E1,3.520298004E-2
1.027113241E1,-6.062793732E-2
1.031112771E1,3.975868225E-3
1.035112294E1,1.355838776E-2
1.039111824E1,-1.084232330E-1
